standard,lemma,postag
governed,govern,vvn
after,after,acp-p
me,i,pno
O,o,uh
heaven,heaven,n1
or,or,cc
if,if,cs
th'unsettled,the|unsettle,d|j_vn
blood,blood,n1
of,of,acp-p
France,France,n1-nn
With,with,acp-p
ease,ease,n1
and,and,cc
wealth,wealth,n1
renew,renew,vvb
he,he,pns
civil,civil,j
furies,fury,n2
Let,let,vvb
all,all,d
my,my,po
powers,power,n2
be,be,vvb
emptied,empty,vvn
in,in,acp-p
my,my,po
Son,son,n1
To,to,acp-cs
curb,curb,vvi
and,and,cc
end,end,vvi
them,they,pno
all,all,d
as,as,acp-cs
I,I,pns
have,have,vvb
done,do,vvn
Let,let,vvb
him,he,pno
by,by,acp-p
virtue,virtue,n1
quite,quite,av
out,out,av
of,of,acp-p
from,from,acp-p
fortune,fortune,n1
Her,her,po
feathered,feather,j_vn
shoulders,shoulder,n2
and,and,cc
her,her,po
winged,wing,j_vn
shoes,shoe,n2
And,and,cc
thrust,thrust,vvd
from,from,acp-p
her,her,po
light,light,j
feet,foot,n2
her,her,po
turning,turn,j_vg
stone,stone,n1
That,that,cs
she,she,pns
may,may,vmb
ever,ever,av
tarry,tarry,vvi
by,by,acp-p
his,his,po
throne,throne,n1
And,and,cc
of,of,acp-p
his,his,po
worth,worth,n1
let,let,vvb
after,after,acp-p
ages,age,n2
say,say,vvb
He,he,pns
fighting,fight,vvg
for,for,acp-p
the,the,d
land,land,n1
and,and,cc
bringing,bring,vvg
home,home,av_n
Just,just,j
conquests,conquest,n2
laden,load,vvn
with,with,acp-p
his,his,po
enemies,enemy,n2g
spoils,spoil,n2
His,his,po
father,father,n1
past,past,acp-p
all,all,d
France,France,n1-nn
in,in,acp-p
martial,martial,j
deeds,deed,n2
But,but,acp-cc
he,he,pns
his,his,po
father,father,n1
twenty,twenty,crd
times,time,n2
exceeds,exceed,vvz
Enter,enter,vvb
the,the,d
Duke,duke,n1
of,of,acp-p
Byron,Byron,n1-nn
D'Avuergne,D'Auvergne,n1-nn
and,and,cc
Laffin,Laffin,n1-nn
Byr.,Byr.,n-ab
My,my,po
dear,dear,j
friends,friend,n2
D'Auvergne,D'Auvergne,n1-nn
and,and,cc
Laffin,Laffin,n1-nn
We,we,pns
need,need,vvb
no,no,d-x
conjurations,conjuration,n2
to,to,acp-cs
conceal,conceal,vvi
Our,our,po
close,close,j
intendments,intendment,n2
to,to,acp-cs
advance,advance,vvi
our,our,po
states,state,n2
Even,even,av
with,with,acp-p
our,our,po
merits,merit,n2
which,which,crq-r
are,be,vvb
now,now,av
neclected,neclect,vvn
Since,since,acp-cs
Britain,Britain,n1-nn
is,be,vvz
reduced,reduce,vvn
and,and,cc
breathless,breathless,j
war,war,n1
Hath,have,vvz
sheathed,sheathe,vvn
his,his,po
sword,sword,n1
and,and,cc
wrapped,wrap,vvd
his,his,po
Ensigns,ensign,n2
up,up,acp-av
The,the,d
King,king,n1
hath,have,vvz
now,now,av
no,no,d-x
more,more,d-c
use,use,n1
of,of,acp-p
my,my,po
valour,valour,n1
And,and,cc
therefore,therefore,av
I,I,pns
shall,shall,vmb
now,now,av
no,no,av-x_d
more,more,av-c_d
enjoy,enjoy,vvi
The,the,d
credit,credit,n1
that,that,cs
my,my,po
service,service,n1
held,hold,vvn
with,with,acp-p
him,he,pno
My,my,po
service,service,n1
that,that,cs
hath,have,vvz
driven,drive,vvn
through,through,acp-p
all,all,d
extremes,extreme,n2_j
Through,through,acp-p
tempests,tempest,n2
droughts,drought,n2
and,and,cc
through,through,acp-p
the,the,d
deepest,deep,j-s
floods,flood,n2
Winter's,winter,n1g
of,of,acp-p
shot,shot,n1
and,and,cc
over,over,acp-p
rocks,rock,n2
so,so,av
high,high,j
That,that,cs
birds,bird,n2
could,can,vmd
scarce,scarce,av_j
aspire,aspire,vvi
their,their,po
ridgy,ridgy,j
tops,top,n2
The,the,d
world,world,n1
is,be,vvz
quite,quite,av
inverted,invert,vvn
virtue,virtue,n1
thrown,throw,vvn
At,at,acp-p
Vice's,vice,n1g
feet,foot,n2
and,and,cc
sensual,sensual,j
peace,peace,n1
confounds,confound,vvz
Valour,valour,n1
and,and,cc
cowardice,cowardice,n1
Fame,fame,n1
and,and,cc
Infamy,infamy,n1
The,the,d
rude,rude,j
and,and,cc
terrible,terrible,j
age,age,n1
is,be,vvz
turned,turn,vvn
again,again,av
When,when,crq-cs
the,the,d
thick,thick,j
air,air,n1
hid,hide,vvd
heaven,heaven,n1
and,and,cc
all,all,d
the,the,d
stars,star,n2
Were,be,vvd
drowned,drown,vvn
in,in,acp-p
humour,humour,n1
tough,tough,j
and,and,cc
hard,hard,av_j
to,to,acp-cs
pierce,pierce,vvi
When,when,crq-cs
the,the,d
red,red,j
Sun,sun,n1
held,hold,vvd
not,not,xx
his,his,po
fixed,fix,j_vn
place,place,n1
Kept,keep,vvd
not,not,xx
his,his,po
certain,certain,j
course,course,n1
his,his,po
rise,rise,n1
and,and,cc
set,set,vvn
Nor,nor,cc-x
yet,yet,av
distinguished,distinguish,vvn
with,with,acp-p
his,his,po
definite,definite,j
bounds,bound,n2
Nor,nor,cc-x
in,in,acp-p
his,his,po
firm,firm,j
conversions,conversion,n2
were,be,vvd
discerned,discern,vvn
The,the,d
fruitful,fruitful,j
distances,distance,n2
of,of,acp-p
time,time,n1
and,and,cc
place,place,n1
In,in,acp-p
the,the,d
well,well,av
varied,vary,j_vn
seasons,season,n2
of,of,acp-p
the,the,d
year,year,n1
When,when,crq-cs
th'incomposed,the|incomposd,d|j_vn
incursions,incursion,n2
of,of,acp-p
floods,flood,n2
Wasted,waste,vvn
and,and,cc
eat,eat,vvi
the,the,d
earth,earth,n1
and,and,cc
all,all,d
things,thing,n2
showed,show,vvd
Wild,wild,j
and,and,cc
disordered,disorder,vvn
naught,nought,pi-x
was,be,vvd
worse,worse,av-c_j
than,than,cs
now,now,av
we,we,pns
must,must,vmb
reform,reform,vvi
and,and,cc
have,have,vvb
a,a,d
new,new,j
creation,creation,n1
Of,of,acp-p
State,state,n1
and,and,cc
government,government,n1
and,and,cc
on,on,acp-p
our,our,po
Chaos,chaos,n1
Will,will,vmb
I,I,pns
sit,sit,vvb
brooding,brood,vvg
up,up,acp-av
another,another,d
world,world,n1
I,i,sy
who,who,crq-r
through,through,acp-p
all,all,d
the,the,d
dangers,danger,n2
that,that,cs
can,can,vmb
siege,siege,vvi
The,the,d
life,life,n1
of,of,acp-p
man,man,n1
have,have,vvb
forced,force,vvn
my,my,po
glorious,glorious,j
way,way,n1
To,to,acp-p
the,the,d
repairing,repair,n1_vg
of,of,acp-p
my,my,po
country's,country,n1g
